"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
2406	722	17	"false"	17	1	
2407	723	17	"false"	17	1	
2385	695	17	"true"	17	1	
2408	725	17	"false"	17	1	
2409	727	17	"false"	17	1	
2410	728	17	"false"	17	1	
2411	731	17	"false"	17	1	
2412	734	17	"false"	17	1	
2413	737	17	"false"	17	1	
2414	738	17	"false"	17	1	
2415	742	17	"false"	17	1	
2416	744	17	"false"	17	1	
2417	748	17	"false"	17	1	
2418	749	17	"false"	17	1	
2419	751	17	"false"	17	1	
2420	752	17	"false"	17	1	
2421	754	21	"false"	21	1	
2422	755	17	"false"	17	1	
2423	756	17	"false"	17	1	
2424	757	17	"false"	17	1	
2425	759	17	"false"	17	1	
2426	760	17	"false"	17	1	
2428	763	17	"false"	17	1	
2429	764	17	"false"	17	1	
2430	767	17	"false"	17	1	
2431	769	17	"false"	17	1	
2432	770	17	"false"	17	1	
2433	771	17	"false"	17	1	
2434	772	17	"false"	17	1	
2435	774	17	"false"	17	1	
2436	775	17	"false"	17	1	
2437	777	17	"false"	17	1	
2438	779	17	"false"	17	1	
2439	781	17	"false"	17	1	
2441	785	17	"false"	17	1	
2442	786	17	"false"	17	1	
2443	787	17	"false"	17	1	
2445	790	21	"false"	21	1	
2446	791	17	"false"	17	1	
2447	794	17	"false"	17	1	
2449	797	26	"false"	26	1	
2450	798	17	"false"	17	1	
2451	800	17	"false"	17	1	
2452	801	17	"false"	17	1	
2453	804	29	"false"	29	1	
2454	805	17	"false"	17	1	
2455	807	17	"false"	17	1	
2456	808	17	"false"	17	1	
2457	809	17	"false"	17	1	
2458	810	17	"false"	17	1	
2459	814	17	"false"	17	1	
2460	815	17	"false"	17	1	
2461	816	17	"false"	17	1	
2462	817	17	"false"	17	1	
2463	819	17	"false"	17	1	
2464	821	17	"false"	17	1	
2465	822	17	"false"	17	1	
2466	823	17	"false"	17	1	
2467	824	17	"false"	17	1	
2468	825	17	"false"	17	1	
2469	826	17	"false"	17	1	
2470	827	17	"false"	17	1	
2471	828	17	"false"	17	1	
2472	829	17	"false"	17	1	
2473	830	17	"false"	17	1	
2474	832	17	"false"	17	1	
2475	836	17	"false"	17	1	
2476	839	17	"false"	17	1	
2477	842	17	"false"	17	1	
2478	843	17	"false"	17	1	
2479	847	17	"false"	17	1	
2961	2037	17	"false"	17	1	
2480	849	17	"false"	17	1	
2481	851	17	"false"	17	1	
2482	853	17	"false"	17	1	
2484	858	17	"false"	17	1	
2485	859	17	"false"	17	1	
2486	861	17	"false"	17	1	
2487	862	17	"false"	17	1	
2488	863	28	"false"	28	1	
2489	864	17	"false"	17	1	
2490	865	17	"false"	17	1	
2491	866	17	"false"	17	1	
2492	870	17	"false"	17	1	
2494	873	17	"false"	17	1	
2495	876	17	"false"	17	1	
2496	878	17	"false"	17	1	
2497	879	29	"false"	29	1	
2498	880	17	"false"	17	1	
2499	881	17	"false"	17	1	
2500	882	17	"false"	17	1	
2501	885	17	"false"	17	1	
2502	886	17	"false"	17	1	
2503	888	17	"false"	17	1	
2504	890	17	"false"	17	1	
2505	893	21	"false"	21	1	
2506	896	17	"false"	17	1	
2507	897	17	"false"	17	1	
2508	898	17	"false"	17	1	
2509	900	17	"false"	17	1	
2510	903	17	"false"	17	1	
2511	905	17	"false"	17	1	
2512	906	17	"false"	17	1	
