id,substances_id,bp_degc,mp_degc,vp_mmhg,logp
845,528,275.176,162.849,4.27117e-08,3.54
846,529,323.798,-7.0142,7.05868e-06,6.1089
847,530,330.078,25.6256,1.25938e-05,2.42379
848,531,318.701,224.224,6.39716e-07,-1.11952
849,532,318.214,108.872,4.56579e-09,2.93153
850,533,210.901,-44.5244,0.16849,1.74099
851,534,347.274,179.006,5.3011e-10,3.29645
852,535,417.478,139.754,1.83263e-09,2.82306
853,536,210.683,-14.7745,0.274066,2.96902
855,538,82.0224,-83.4082,17.0085,2.09022
856,539,319.307,182.885,1.02347e-05,2.15687
857,540,248.151,89.0969,0.00379513,-1.36869
858,541,295.614,60.7525,3.55473e-08,5.05043
859,542,274.731,199.879,8.62784e-11,0.571172
860,543,372.025,135.877,3.43135e-09,3.13396
861,544,339.809,127.837,5.01967e-08,3.40319
862,545,303.108,96.2835,5.60217e-07,2.78751
863,546,364.407,221.681,2.15864e-10,-1.27877
864,547,276.485,228.96,3.28536e-11,3.42355
865,548,312.236,201.383,1.39991e-08,-1.01226
866,549,371.649,200.025,4.75313e-10,-1.99772
867,550,284.665,109.301,2.84013e-05,2.99488
868,551,365.384,216.465,3.03559e-09,3.6372
869,552,364.237,196.018,6.39082e-10,2.39101
870,553,358.607,256.019,1.95941e-09,2.99731
871,554,279.339,85.7364,0.000240463,3.35026
872,555,430.873,168.362,4.06966e-09,6.12407
873,556,341.722,184.946,2.07942e-09,3.43866
874,557,291.807,219.229,3.79111e-10,0.897575
875,558,151.706,-62.9911,2.84171,1.84553
876,559,303.833,151.343,6.5992e-10,0.779029
878,561,256.989,219.954,9.10469e-10,-0.285058
879,562,243.06,-21.8587,0.0159549,4.51014
880,563,261.797,96.1477,0.0372315,0.488579
881,564,253.757,246.97,0.00033009,-0.200069
882,565,184.912,112.018,0.283677,1.33964
883,566,257.542,-41.0645,0.00809387,4.36213
884,567,318.335,227.677,2.10511e-06,-1.45368
885,568,183.726,241.465,0.793906,-0.0371272
886,569,188.573,-21.1238,0.282532,0.845317
887,570,290.183,187.287,9.93248e-06,0.303551
888,571,350.233,27.0442,3.64556e-05,3.60266
889,572,240.944,3.6462,0.0267179,3.00982
890,573,95.7158,220.186,0.352538,-2.85007
891,574,295.85,237.789,6.90589e-08,1.30491
892,575,310.436,192.076,1.25236e-10,-1.0116
894,577,270.105,54.9806,1.2545e-05,-0.566712
895,578,227.934,26.0872,0.0688198,3.01477
896,579,254.2,-5.79215,0.0472463,4.80755
897,580,273.445,47.493,0.000144084,3.39782
899,582,174.429,30.5571,0.171601,1.26087
900,583,230.282,37.6557,0.0116838,4.65202
901,584,291.087,177.532,1.5398e-09,1.45293
902,585,338.943,62.2138,2.77667e-05,1.09074
903,586,379.347,215.837,2.45605e-09,-0.0908808
904,587,259.112,-6.4371,0.00801208,0.32391
905,588,276.36,177.512,1.5398e-05,0.70179
906,589,282.858,150.667,1.30292e-07,1.95882
907,590,285.454,160.753,0.00195126,-1.50733
908,591,290.066,149.42,1.57442e-07,-2.51685
909,592,345.643,122.483,2.54762e-07,2.00424
910,593,297.953,97.9688,0.000172338,5.03451
912,595,291.146,212.77,1.48794e-07,1.2991
913,596,363.383,212.925,1.12177e-09,3.20868
914,597,203.07,-30.5614,0.13239,3.61856
915,598,156.816,1.5529,3.65675,0.282905
916,599,222.077,-45.4954,0.560135,2.04495
917,600,244.742,32.5355,0.0602689,4.81641
918,601,210.092,46.9898,0.149947,0.613984
919,602,317.377,120.813,6.23262e-08,2.7373
920,603,285.129,129.289,3.11226e-06,1.47016
921,604,367.122,252.841,1.42304e-08,2.11319
922,605,184.683,44.919,0.321232,-0.0321347
923,606,290.664,43.8031,0.000394709,0.611741
924,607,226.736,30.9084,0.191669,-0.279434
925,608,197.337,49.2185,0.10314,0.110312
926,609,293.759,114.633,2.53011e-05,3.11769
927,610,340.569,86.3668,2.82296e-06,3.69897
928,611,275.747,93.3692,0.000351791,4.02763
929,612,290.964,212.684,1.54511e-07,1.28445
930,613,331.331,120.353,4.37786e-08,3.51809
931,614,377.012,179.005,8.0937e-10,0.554374
932,615,352.403,156.385,1.13112e-07,0.376513
933,616,333.026,99.791,6.51486e-08,4.4974
934,617,310.159,107.961,5.68602e-07,3.09685
935,618,239.387,140.512,0.000181597,-0.448437
936,619,380.975,203.991,1.67662e-09,-0.176402
937,620,333.12,120.46,4.60592e-07,3.27572
938,621,321.474,172.816,7.84528e-09,0.389252
939,622,322.244,173.157,1.95342e-11,1.2665
940,623,423.449,265.757,2.43725e-09,3.15348
941,624,300.834,172.044,1.85234e-06,-0.355894
942,625,344.847,156.187,3.87709e-08,1.39417
943,626,263.952,126.431,0.000726525,0.857776
944,627,387.963,206.878,4.99611e-09,-1.0318
945,628,346.771,141.719,1.02444e-08,2.88237
946,629,348.271,146.567,1.9938e-08,2.8281
947,630,288.694,190.126,3.63103e-11,-1.7698
948,631,328.07,160.788,1.02406e-05,3.20875
949,632,276.445,206.571,1.26122e-09,2.71602
950,633,299.516,163.412,3.82915e-11,-1.96662
951,634,430.576,192.337,6.82073e-11,3.8434
952,635,277.264,95.5895,2.59661e-08,2.44978
953,636,413.161,224.798,6.28849e-09,4.18453
954,637,356.434,189.597,1.55453e-10,2.82865
955,638,457.285,221.476,1.83218e-09,4.63616
956,639,356.877,154.682,3.12847e-10,0.304737
957,640,403.399,168.605,3.9441e-10,0.932946
958,641,300.913,131.709,4.19801e-07,1.13544
960,643,336.008,120.565,2.87187e-09,-0.298698
961,644,271.592,149.839,9.259e-10,0.461233
962,645,304.623,191.496,3.14227e-10,0.380327
963,646,321.948,160.601,9.38775e-09,0.69832
964,647,327.789,189.296,1.45727e-09,1.21857
965,648,320.871,105.076,6.4063e-08,1.46743
966,649,286.676,169.11,1.14442e-06,1.0604
967,650,279.864,234.776,3.37569e-06,-0.23761
968,651,329.306,235.338,1.8193e-09,3.38475
969,652,309.037,60.872,4.06776e-06,-0.261428
970,653,444.489,169.989,1.27873e-10,1.84806
971,654,337.531,165.854,3.85055e-10,0.514238
972,655,320.343,215.437,2.37423e-10,2.16917
973,656,318.96,114.835,1.58462e-08,1.63216
974,657,336.684,149.783,9.2383e-07,0.596987
975,658,355.545,169.718,2.76141e-09,0.870219
977,660,296.695,147.023,1.10137e-09,0.159637
978,661,271.022,205.66,3.4981e-10,-0.424241
979,662,409.51,135.736,4.53915e-09,1.05325
